Country,Date,Confirmed 
Italy,4/1/2020,110574
Italy,4/2/2020,115242
Italy,4/3/2020,119827
Italy,4/4/2020,124632
Italy,4/5/2020,128948
Italy,4/6/2020,132547
Italy,4/7/2020,135586
Italy,4/8/2020,139422
Italy,4/9/2020,143626
Italy,4/10/2020,147577
Italy,4/11/2020,152271
Italy,4/12/2020,156363
Italy,4/13/2020,159516
Italy,4/14/2020,162488
Italy,4/15/2020,165155
Italy,4/16/2020,168941
Italy,4/17/2020,172434
Italy,4/18/2020,175925
Italy,4/19/2020,178972
Italy,4/20/2020,181228
Italy,4/21/2020,183957
Italy,4/22/2020,187327
Italy,4/23/2020,189973
Italy,4/24/2020,192994
Italy,4/25/2020,195351
Italy,4/26/2020,197675
Italy,4/27/2020,199414
Italy,4/28/2020,201505
Italy,4/29/2020,203591
Italy,4/30/2020,205463
Italy,5/1/2020,207428
VietNam,4/1/2020,218
VietNam,4/2/2020,233
VietNam,4/3/2020,237
VietNam,4/4/2020,240
VietNam,4/5/2020,241
VietNam,4/6/2020,245
VietNam,4/7/2020,249
VietNam,4/8/2020,251
VietNam,4/9/2020,255
VietNam,4/10/2020,257
VietNam,4/11/2020,258
VietNam,4/12/2020,262
VietNam,4/13/2020,265
VietNam,4/14/2020,266
VietNam,4/15/2020,267
VietNam,4/16/2020,268
VietNam,4/17/2020,268
VietNam,4/18/2020,268
VietNam,4/19/2020,268
VietNam,4/20/2020,268
VietNam,4/21/2020,268
VietNam,4/22/2020,268
VietNam,4/23/2020,268
VietNam,4/24/2020,270
VietNam,4/25/2020,270
VietNam,4/26/2020,270
VietNam,4/27/2020,270
VietNam,4/28/2020,270
VietNam,4/29/2020,270
VietNam,4/30/2020,270
VietNam,5/1/2020,270
US,4/1/2020,224560
US,4/2/2020,256792
US,4/3/2020,289087
US,4/4/2020,321477
US,4/5/2020,351354
US,4/6/2020,382747
US,4/7/2020,413516
US,4/8/2020,444731
US,4/9/2020,480667
US,4/10/2020,515081
US,4/11/2020,544183
US,4/12/2020,571440
US,4/13/2020,598380
US,4/14/2020,627205
US,4/15/2020,652611
US,4/16/2020,682626
US,4/17/2020,715656
US,4/18/2020,743588
US,4/19/2020,769684
US,4/20/2020,799512
US,4/21/2020,825429
US,4/22/2020,854288
US,4/23/2020,887858
US,4/24/2020,920185
US,4/25/2020,950581
US,4/26/2020,977082
US,4/27/2020,1000785
US,4/28/2020,1025362
US,4/29/2020,1051800
US,4/30/2020,1081020
US,5/1/2020,1115946
France,4/1/2020,56362
France,4/2/2020,58404
France,4/3/2020,63588
France,4/4/2020,46483
France,4/5/2020,47299
France,4/6/2020,49934
France,4/7/2020,46400
France,4/8/2020,50242
France,4/9/2020,54003
France,4/10/2020,55538
France,4/11/2020,56972
France,4/12/2020,107712
France,4/13/2020,110836
France,4/14/2020,128272
France,4/15/2020,131476
France,4/16/2020,144035
France,4/17/2020,145896
France,4/18/2020,149683
France,4/19/2020,150752
France,4/20/2020,153197
France,4/21/2020,155821
France,4/22/2020,157603
France,4/23/2020,155881
France,4/24/2020,158653
France,4/25/2020,160295
France,4/26/2020,160907
France,4/27/2020,164592
France,4/28/2020,167650
France,4/29/2020,166193
France,4/30/2020,167326
France,5/1/2020,167846
